Year,State,County,Commodity,Data Item,Value
2015,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"20,400"
2014,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"23,000"
2013,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"20,200"
2012,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"27,000"
2011,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"22,300"
2010,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"25,700"
2009,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"22,300"
2008,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"20,800"
2007,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"27,000"
2006,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"20,100"
2005,MISSOURI,BOONE,CORN,CORN - ACRES PLANTED,"25,000"
2016,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,800"
2015,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","7,800"
2014,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,700"
2013,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","9,700"
2012,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","6,800"
2011,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","7,800"
2010,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,700"
2009,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","7,500"
2008,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","12,700"
2007,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","11,100"
2006,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","10,100"
2005,MISSOURI,BOONE,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,300"
2015,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"139,500"
2014,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"142,000"
2013,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"148,000"
2012,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"152,500"
2011,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"134,500"
2010,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"137,500"
2009,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"138,200"
2008,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"131,000"
2007,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"143,000"
2006,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"127,000"
2005,SOUTH DAKOTA,BROOKINGS,CORN,CORN - ACRES PLANTED,"127,000"
2014,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"4,900"
2013,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"4,000"
2012,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"3,000"
2010,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"3,900"
2009,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"3,500"
2008,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"3,300"
2007,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"5,700"
2006,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"4,200"
2005,SOUTH DAKOTA,BROOKINGS,OATS,OATS - ACRES PLANTED,"5,500"
2015,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","5,900"
2012,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","5,900"
2010,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","10,300"
2009,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","15,500"
2007,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","9,400"
2006,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","13,200"
2005,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","13,800"
2015,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED",500
2014,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,200"
2011,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED",800
2009,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,100"
2007,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,000"
2006,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,500"
2005,SOUTH DAKOTA,BROOKINGS,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,500"
2015,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"33,400"
2014,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"32,300"
2013,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"32,000"
2012,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"32,300"
2011,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"30,000"
2010,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"24,500"
2009,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"31,000"
2008,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"19,500"
2007,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"26,300"
2006,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"19,700"
2005,KENTUCKY,CALDWELL,CORN,CORN - ACRES PLANTED,"22,400"
